titulo,año_titulo,nombre_autor,apellido_autor,nombre_autor1,apellido_autor1,nombre_autor2,apellido_autor2,isbn,estante,editorial,año_edicion,volumen,claveIngreso,colección,edicion,adquisicion,numClasificacion,materias
Arquitectura y ciudad moderna en el sur de Chile. Memoria territorio y proyecto,1999,Pablo Fuentes y Veronica Esparza editores,a,,,,,5.24E+84,N/A,Ediciones Universidad del Bío-Bío + STOQ editoria,1999,0,1A,0,0,B,100,
Principles of Genetics,1989, D. Peter Snustad,a,,,,,5.24E+49,N/A,Wiley,1990,1,1B,1,1,D,200,
El precariado. Una nueva clase social,1990,Guy Standing,a,,,,,5.24E+64,N/A,Pasado y Presente,1991,2,2C,2,2,A,300,
DESIGN AND ANALYSIS OF EXPERIMENTS VOLUMEN 1 2 Y 3,1991,HINKELMANNy KLAUS AND KEMPTTHORNEy OSCAR,a,,,,,5.24E+79,N/A,JOHN WILEY AND SONS,1992,3,3D,3,3,C,400,
DESIGN AND ANALYSIS OF EXPERIMENTS WITH R,1992,LAWSONy JOHN,a,,,,,5.24E+99,N/A,TAYLOR AND FRANCIS GROUP,1993,4,4E,4,4,E,500,
Essentials of domestic animal embryology,1989, Hyttely Poul  Sinowatzy Fred  Vejlstedy Morten,a,,,,,5.24E+84,N/A,Saunders Elsevier,1990,5,1A,5,5,B,600,
Environmental Geology,1987,Montgomeryy C.,a,,,,,5.24E+39,N/A,McGraw-Hill Education,1989,6,1B,6,6,D,700,
Environmental Geology: An Earth Systems Approach,1986,Merrittsy D.y Menkingy K.y DeWety A.,a,,,,,5.24E+64,N/A,Macmillan Learning,1988,7,2C,7,7,A,800,
Environmental Geology,1985,Edward Keller,a,,,,,5.24E+44,N/A,Pearson Prentice Hall,1987,8,3D,8,8,C,900,
Embriología médica,1984,Langmany Jan  Sadlery T. W.,a,,,,,5.24E+84,N/A,Wolters Kluwer,1986,9,4E,9,9,E,100,
Veterinary embryology,1983,MacGeadyy Thomas A.y Quinny P. J.y FitzPatricky E. S.y Ryany M. T.y Cahalany S.,a,,,,,5.24E+84,N/A,Blackwell,1985,10,1A,10,10,B,200,
Conservation and Development,1981,Andrew Newshamy Shonil Bhagwat,a,,,,,5.24E+69,N/A,Routledge,1984,11,1B,11,11,D,300,
ADMINISTRACION,1980,ROBBINSy STEPHEN  COULTERy MARY,a,,,,,5.24E+64,N/A,PEARSON,1983,12,2C,12,12,A,400,
Auditoría un enfoque integral,1979,Alvin A. Arens-Randal Elder-Mark Beasley,a,,,,,5.24E+84,N/A,Pearson Educación,1982,13,3D,13,13,C,500,
TEORIA Y DISEÑO ORGANIZACIONAL,1978,DAFTy RICHARD L.,a,,,,,5.24E+64,N/A,CENGAGE,1981,14,4E,14,14,E,600,
TEORIA Y DISEÑO ORGANIZACIONAL,1977,DAFTy RICHARD L.,a,,,,,5.24E+64,N/A,CENGAGE,1980,15,1A,15,15,B,700,
TEORIA ORGANIZACIONAL DISEÑO Y CAMBIO EN LAS ORGANIZACIONES,1975,JONESy GARETH R.,a,,,,,5.24E+64,N/A,PEARSON,1979,16,1B,16,16,D,800,
TEORIA ORGANIZACIONAL DISEÑO Y CAMBIO EN LAS ORGANIZACIONES,1974,JONESy GARETH R.,a,,,,,5.24E+64,N/A,PEARSON,1978,17,2C,17,17,A,900,
ADMINISTRACION,1973,ROBBINSy STEPHEN  COULTERy MARY,a,,,,,5.24E+64,N/A,PEARSON,1977,18,3D,18,18,C,100,
INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRACION,1972,CHIAVENATOy IDALBERTO,a,,,,,5.24E+64,N/A,MCGRAW-HILL,1976,19,4E,19,19,E,200,
ADMINISTRACION. UN ENFOQUE BASADO EN COMPETENCIAS,1971,HELLRIEGELy DON  JACKSONy SUSAN  SLOCUM JRy JOHN,a,,,,,5.24E+84,N/A,CENGAGE LEARNING,1975,20,1A,20,20,B,300,
Auditoría Interna,1969,Juan Ramón Santillana González,a,,,,,5.24E+84,N/A,Pearson Educación,1974,21,1B,21,21,D,400,
INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRACION,1968,CHIAVENATOy IDALBERTO,a,,,,,5.24E+64,N/A,MCGRAW-HILL,1973,22,2C,22,22,A,500,
Farmacología Básica y Clínica,1967,Bertram G. Katzung,a,,,,,5.24E+64,N/A,McGraw Hill,1972,23,3D,23,23,C,600,
Anatomía topográfica y aplicada de los animales domésticos,1966,BERGy Rolf,a,,,,,5.24E+64,N/A,Edit AC Madrid,1971,24,4E,24,24,E,700,
Hearing by Whales and Dolphins,1965, Richard R. Fayy Whitlow W.L. Au,a,,,,,5.24E+84,N/A,Springer-Verlag New York,1970,25,1A,25,25,B,800,
Comparative Hearing: Mammals,1963,Richard R. Fay,a,,,,,5.24E+84,N/A,Springer-Verlag New York,1969,26,1B,26,26,D,900,
Aritmética y Álgebra Manual Esencial,1962,Baezay Ángela y otros,a,,,,,5.24E+84,N/A,Santillana,1968,27,2C,27,27,A,100,
